282;89-506;Kęsowo;ul. Główna;11;\N
283;89-526;Lubiewo;ul. Hallera;9;\N
284;89-530;Śliwice;ul. Ks. dra St. Sychowskiego;30;\N
285;89-500;Tuchola;Pl. Zamkowy;1;\N
286;87-200;Wąbrzeźno;ul. Wolności;18;\N
287;87-207;Dębowa Łąka;Dębowa Łąka;38;\N
288;87-222;Książki;ul. Bankowa;4;\N
289;87-214;Płużnica;Płużnica;60;\N
290;87-200;Wąbrzeźno;ul. Mickiewicza;21;\N
291;87-820;Kowal;ul. Piwna;24;\N
292;87-821;Baruchowo;ul. Baruchowo;54;\N
293;87-851;Boniewo;ul. Szkolna;28;\N
294;87-880;Brześć Kujawski;Plac Władysława Łokietka;1;\N
295;87-850;Choceń;ul. Sikorskiego;4;\N
296;87-860;Chodecz;ul. Kaliska;2;\N
297;87-811;Fabianki;Fabianki;4;\N
298;87-865;Izbica Kujawska;ul. Marszałka Piłsudskiego;32;\N
299;87-820;Kowal;ul. Piwna;33;\N
300;87-732;Lubanie;Lubanie;28 A;\N
301;87-840;Lubień Kujawski;ul. Wojska Polskiego;29;\N
302;87-890;Lubraniec;ul. Brzeska;49;\N
303;87-800;Włocławek;ul. Królewiecka;7;\N
304;88-190;Barcin;ul. Artylerzystów;9;\N
305;88-410;Gąsawa;ul. Żnińska;8;\N
306;88-430;Janowiec Wielkopolski;ul. Gnieźnieńska;3;\N
307;89-210;Łabiszyn;ul. Plac 1000-lecia;1;\N
308;88-420;Rogowo;ul. Kościelna;8;\N
309;88-400;Żnin;ul. 700-lecia;39;\N
310;85-102;Bydgoszcz;ul. Jezuicka;1;\N
311;86-300;Grudziądz;ul. Ratuszowa;1;\N
312;87-100;Toruń;ul. Wały gen. Sikorskiego;8;\N
313;87-800;Włocławek;ul. Zielony Rynek;11;13
314;21-560;Międzyrzec Podlaski;ul. Pocztowa;8;\N
315;21-550;Terespol;ul. Czerwonego Krzyża;26;\N
316;21-500;Biała Podlaska;ul. Prosta;31;\N
317;21-570;Drelów;ul. Szkolna;12;\N
318;21-505;Janów Podlaski;ul. Bialska;6A;\N
319;21-509;Kodeń;ul. 1 Maja;20;\N
320;21-543;Konstantynów;ul. Kard. St. Wyszyńskiego;2;\N
321;21-542;Leśna Podlaska;ul. Bialska;30;\N
322;21-532;Łomazy;Pl. Jagielloński;27;\N
323;21-560;Międzyrzec Podlaski;ul. Warszawska;20;\N
324;21-530;Piszczac;ul. Włodawska;8;\N
325;21-504;Rokitno;Rokitno;39A;\N
326;21-533;Rossosz;ul. Lubelska;8;\N
327;21-515;Sławatycze;Rynek;14;\N
328;21-518;Sosnówka;Sosnówka;55;\N
329;21-540;Małaszewicze;PL. Ryszarda Kaczorowskiego;1;\N
330;21-523;Tuczna;Tuczna;191A;\N
331;21-580;Wisznice;Rynek;35;\N
332;21-512;Zalesie;ul. Warszawska;34;\N
333;23-400;Biłgoraj;pl. Wolności;16;\N
334;23-408;Aleksandrów;Aleksandrów;380;\N
335;23-400;Biłgoraj;ul. Kościuszki;88;\N
336;23-425;Biszcza;Biszcza;79;\N
337;23-440;Frampol;ul. Radzięcka;8;\N
338;23-450;Goraj;Bednarska;1;\N
339;23-460;Józefów;ul. Kościuszki;37;\N
340;23-415;Księżpol;ul. Biłgorajska;12;\N
341;23-412;Łukowa;Łukowa;262;\N
342;23-413;Obsza;Obsza;36;\N
343;23-423;Potok Górny;Potok Górny;116;\N
344;23-420;Tarnogród;ul. Tadeusza Kościuszki;5;\N
345;23-407;Tereszpol-Zaorenda;Długa;234;\N
346;23-465;Turobin;Rynek;4;\N
347;22-170;Rejowiec Fabryczny;ul. Lubelska;16;\N
348;22-135;Białopole;ul. Chełmska;1;\N
349;22-100;Pokrówka;ul. Gminna;18;\N
350;22-175;Dorohusk;ul. Niepodległości;50;\N
351;22-145;Dubienka;ul. 3 Maja;6;\N
352;22-113;Kamień;ul. Diamentowa;15;\N
353;22-122;Leśniowice;Leśniowice;21a;\N
354;22-170;Rejowiec Fabryczny;ul. Lubelska;16;\N
355;22-110;Ruda-Huta;ul. Niepodległości;44;\N
356;22-107;Sawin;ul. Chutecka;12;\N
357;22-130;Siedliszcze;ul. Szpitalna;15A;\N
358;22-150;Wierzbica;ul. Włodawska;1;\N
359;22-120;Wojsławice;Rynek;30;\N
360;22-114;Żmudź;ul. Kasztanowa;22;\N
361;22-360;Rejowiec;ul. Wiktoryna Zaleskiego;1;\N
362;22-500;Hrubieszów;"ul. mjr. H. Dobrzańskiego ""HUBALA""";1;\N
363;22-540;Dołhobyczów;ul. Spółdzielcza;2a;\N
364;22-523;Horodło;ul. Jurydyka;1;\N
365;22-500;Hrubieszów;ul. Bolesława Prusa;8;\N
366;22-530;Mircze;ul. Kryłowska;20;\N
367;22-554;Trzeszczany;Trzeszczany Pierwsze;194;\N
368;22-510;Uchanie;ul. Partyzantów;1;\N
369;22-550;Werbkowice;ul. Zamojska;1;\N
370;23-320;Batorz;Batorz Pierwszy;52A;\N
371;23-305;Chrzanów;Chrzanów Trzeci;112;\N
